#Coordinate, 61.46667_2.16667
YY,MM,DD,HH,Min,CD317,CS317
1984,7,18,9,20,130.6,10.7
1984,7,18,9,30,128.5,11.7
1984,7,18,9,40,126.7,12.6
1984,7,18,9,50,119,13.2
1984,7,18,10,00,118.7,13.6
1984,7,18,10,10,122.9,12.9
1984,7,18,10,20,125.7,13.2
1984,7,18,10,30,124.3,13.9
1984,7,18,10,40,125.7,15.4
1984,7,18,10,50,124.6,16.4
1984,7,18,11,00,123.9,16.7
1984,7,18,11,10,123.9,16.7
1984,7,18,11,20,124.6,16.4
1984,7,18,11,30,126.7,16.4
1984,7,18,11,40,130.9,17.9
1984,7,18,11,50,131.3,18.6
1984,7,18,12,00,130.2,18.6
1984,7,18,12,10,128.4,18.6
1984,7,18,12,20,128.1,17.6
1984,7,18,12,30,130.2,17.6
1984,7,18,12,40,128.1,17.6
1984,7,18,12,50,127.4,17
1984,7,18,13,00,126.7,17.3
1984,7,18,13,10,131.3,17.6
1984,7,18,13,20,134.4,17.3
1984,7,18,13,30,136.5,17.6
1984,7,18,13,40,137.6,17
1984,7,18,13,50,134.8,16.4
1984,7,18,14,00,139.3,15.7
1984,7,18,14,10,138.9,15.1
1984,7,18,14,20,140.7,14.2
1984,7,18,14,30,141.4,13.9
1984,7,18,14,40,144.5,13.2
1984,7,18,14,50,143.8,12.3
1984,7,18,15,00,145.2,12
1984,7,18,15,10,147.7,11.4
1984,7,18,15,20,145.9,11.1
1984,7,18,15,30,148.7,11.4
1984,7,18,15,40,148.4,11
1984,7,18,15,50,150.5,11.1
1984,7,18,16,00,153.2,10.7
1984,7,18,16,10,156,10.1
1984,7,18,16,20,156,9.8
1984,7,18,16,30,158.8,8.9
1984,7,18,16,40,166.6,8.2
1984,7,18,16,50,169.3,9.5
1984,7,18,17,00,174.2,9.8
1984,7,18,17,10,158.5,10.4
1984,7,18,17,20,165.5,10.7
1984,7,18,17,30,166.5,10.7
1984,7,18,17,40,165.8,10.4
1984,7,18,17,50,163,10.4
