height,period,angle_from_north
1.4,8.4,4.83456203
1.3,8.55,4.74729557
1.4,8.55,4.74729557
1.2,7.95,4.60766923
1.2,8.1,4.64257581
1.1,8.4,4.34586984
1.1,8.4,4.34586984
1,7.95,4.34586984
0.9,8.1,4.31096325
0.9,7.8,4.31096325
1,8.25,4.24115008
0.9,6.9,4.34586984
1,7.05,4.24115008
1,6.3,4.41568301
1.1,6.3,4.48549618
1.1,6.9,4.50294947
1.2,7.2,4.45058959
1.1,7.5,4.27605667
1.1,7.35,4.15388362
1.1,6.9,4.2062435
1.1,6.75,4.46804289
1.2,7.05,4.6600291
1.4,7.35,4.92182849
1.1,7.35,5.18362788
0.9,7.05,6.0562925
1,6.75,0.57595865
0.9,6.9,0.38397244
0.8,6.9,0.66322512
0.8,6.9,0.87266463
0.9,7.2,0.9250245
0.9,7.35,0.80285146
0.9,7.2,0.78539816
0.9,7.5,1.02974426
1,7.8,2.12930169
0.9,8.1,2.61799388
0.9,7.8,2.47836754
0.9,7.2,2.19911486
0.9,6.3,2.04203522
1.1,5.85,2.12930169
1.5,6.3,2.25147474
2.1,7.35,2.23402144
2.5,7.95,2.19911486
2.7,8.4,2.37364778
2.8,8.55,2.25147474
3.1,8.85,2.37364778
3,8.85,2.40855437
2.8,8.55,2.49582083
2.2,8.55,2.68780705
2.2,8.55,3.17649924
2.2,8.55,3.52556509
1.8,8.4,3.80481777
1.8,8.55,3.40339204
1.6,8.4,2.7925268
1.5,8.1,2.61799388
1.5,7.8,2.61799388
1.4,7.35,2.70526034
1.3,7.05,2.75762022
1.3,7.2,2.61799388
1,6.9,2.19911486
1.1,6.75,2.0943951
1.1,6.9,2.18166156
1.2,7.35,2.12930169
1.5,7.35,1.69296937
1.7,7.8,1.44862328
1.6,7.8,1.3962634
1.9,8.25,1.27409035
2.1,8.4,1.29154365
2,8.4,1.02974426
1.8,8.25,0.82030475
1.9,8.55,0.6981317
1.8,8.25,0.61086524
1.6,7.95,0.4712389
1.8,8.4,0.97738438
1.7,8.7,1.22173048
1.7,8.85,1.34390352
1.6,8.85,1.98967535
1.6,8.7,1.93731547
1.3,8.4,2.82743339
1.2,7.95,2.86233997
1.1,7.95,2.74016693
1,7.65,3.00196631
1,6.9,3.12413936
1.2,6.15,3.10668607
1.3,6.15,3.05432619
1.7,6.6,3.12413936
2.3,7.65,3.12413936
2.7,7.95,3.12413936
2.9,8.4,2.98451302
3.8,9.45,3.07177948
4.6,10.2,3.24631241
4.2,10.2,3.63028484
4.2,10.2,4.31096325
2.9,9.6,5.32325422
2.8,9.6,5.18362788
2.6,9.3,5.18362788
2.4,8.85,4.99164166
2.6,9.6,4.69493569
2.3,8.85,4.81710874
2.4,8.85,4.79965544
2.9,9.45,4.78220215
2.9,9.75,4.92182849
3,9.9,4.81710874
2.7,9.6,4.81710874
2.8,9.45,4.69493569
2.7,10.05,4.59021593
2.5,10.5,4.34586984
2.2,10.05,4.08407045
2.2,9,4.08407045
2.1,8.7,4.06661716
2.2,8.4,4.10152374
2.4,8.7,4.04916386
2.5,9.3,3.99680399
2.3,8.7,4.17133691
2.3,8.25,3.97935069
2.4,8.4,4.1887902
2.8,8.55,4.22369679
2.5,8.85,4.13643033
